OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
0.2471	0.3874	0.1632	0.1091	0.2962	0.0996	0.0515	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS7 marine group;
2.9656	1.0645	3.8589	0.1679	4.2047	2.1834	1.4432	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;NS9 marine group;
0.0040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Schleiferiaceae;Schleiferia;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;SB-5;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Ferruginibacter;
0.0000	0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Parafilimonas;
0.0040	0.0000	0.0044	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;Taibaiella;
0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0057	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Chitinophagaceae;uncultured;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;KD1-131;
0.0040	0.0000	0.0000	0.0042	0.0000	0.0038	0.0115	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Lentimicrobiaceae;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;NS11-12 marine group;
0.0000	0.0000	0.0000	0.0126	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;PHOS-HE51;
0.0000	0.0000	0.0044	0.0000	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;S15-21;
0.0000	0.0000	0.0000	0.0042	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;
0.0120	0.0105	0.0088	0.3315	0.0000	0.0192	0.0115	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Aureispira;
0.0239	0.0000	0.0088	0.0378	0.0167	0.0268	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Lewinella;
0.0000	0.0000	0.0044	0.0252	0.0042	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Phaeodactylibacter;
0.0000	0.0000	0.0088	0.0210	0.0000	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Portibacter;
0.0040	0.0000	0.0044	0.0000	0.0125	0.0000	0.0000	Bacteria;Bacteroidetes;Sphingobacteriia;Sphingobacteriales;Saprospiraceae;Rubidimonas;
