OSD188_6_14_RI	OSD189_6_14_YNG	OSD190_6_14_KI	OSD191_6_14_DRW	OSD31_6_14_PH	OSD32_6_14_NSI	OSD33_6_14_MI
1	0	0	1	1	0	0	Bacteria;Cyanobacteria;Melainabacteria;Obscuribacterales;
0	0	1	0	0	0	0	Bacteria;Cyanobacteria;Melainabacteria;Vampirovibrionales;
0	0	0	12	0	0	0	Bacteria;Deferribacteres;Deferribacteres Incertae Sedis;Unknown Order;Unknown Family;Caldithrix;
0	0	0	0	2	0	0	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;
1	0	0	5	0	0	0	Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Trueperaceae;Truepera;
0	0	0	1	0	0	0	Bacteria;Deinococcus-Thermus;Deinococci;KD3-62;
0	0	0	1	0	0	0	Bacteria;Elusimicrobia;Elusimicrobia;4-29;
0	1	0	2	0	0	0	Bacteria;Elusimicrobia;Elusimicrobia;Lineage IIb;
0	0	0	1	0	0	0	Bacteria;Elusimicrobia;Elusimicrobia;Lineage IV;
0	0	0	1	0	0	0	Bacteria;Elusimicrobia;Elusimicrobia;MD2894-B20;
0	0	1	0	0	0	0	Bacteria;Elusimicrobia;Elusimicrobia;MVP-88;
0	0	0	1	0	0	0	Bacteria;FCPU426;
0	0	0	1	0	0	0	Bacteria;Fibrobacteres;Chitinivibrionia;possible order 07;
0	0	1	3	3	3	0	Bacteria;Fibrobacteres;Fibrobacteria;Fibrobacterales;Fibrobacteraceae;uncultured;
0	0	0	0	0	1	0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;
2	2	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;
0	0	2	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Oceanobacillus;
0	0	1	0	0	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Chungangia;
1	1	0	0	1	0	0	Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;
1	1	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Carnobacterium;
0	0	0	0	0	1	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;
0	0	0	0	1	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;
2	1	1	0	1	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
0	0	0	0	1	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;
1	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;
0	0	0	1	0	1	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;uncultured;
1	0	0	1	0	0	0	Bacteria;Firmicutes;Clostridia;Clostridiales;Peptostreptococcaceae;Intestinibacter;
1	2	1	5	0	0	0	Bacteria;Firmicutes;Clostridia;Halanaerobiales;ODP1230B8.23;
1	0	0	0	0	0	0	Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelatoclostridium;
1	0	0	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;Veillonella;
2	0	1	3	0	0	0	Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Propionigenium;
0	0	0	1	0	0	0	Bacteria;Gemmatimonadetes;AKAU4049;
34	1	21	87	3	1	141	Bacteria;Gemmatimonadetes;BD2-11 terrestrial group;
0	0	0	2	0	0	0	Bacteria;Gemmatimonadetes;Gemmatimonadetes;Gemmatimonadales;Gemmatimonadaceae;uncultured;
1	0	0	16	0	0	0	Bacteria;Gemmatimonadetes;PAUC43f marine benthic group;
0	1	0	16	1	0	0	Bacteria;Gracilibacteria;
0	0	0	13	0	0	1	Bacteria;Hydrogenedentes;
0	0	0	1	0	0	0	Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;BSV26;
0	0	0	2	0	0	0	Bacteria;Ignavibacteriae;Ignavibacteria;Ignavibacteriales;IheB3-7;
2	0	0	17	0	0	0	Bacteria;Latescibacteria;
0	0	0	2	0	0	0	Bacteria;Latescibacteria;Latescibacteria Incertae Sedis;Unknown Order;Unknown Family;Candidatus Latescibacter;
5	5	4	15	4	23	0	Bacteria;Lentisphaerae;Lentisphaeria;Lentisphaerales;Lentisphaeraceae;Lentisphaera;
